label	descrip
0	咨询社保问题
1	滚
0	转人工服务
0	我这张卡没有绑定银行卡哎现在老家要要这张卡要打钱进去没办法打进去我现在该怎么办
0	我想要人工服务
0	哦我们这边有一个员工已经提到退休了但是现在因为不小心操作给他身边的社保那这边会不会对他的那个退休待遇有所影响
0	我想请问一下广东省深圳市国家税务局通用机打发票是否还有效
0	额就是我今天动画实名认证了这个税务上面的一些问题吗然后的话然后再进行在微信公众号里面的话就是怎么样子去查询我这个到底就是有没有认证成功的以及下一步进行什么样的操作是怎样一个流程呢
0	嗯
0	嗯我是说我们买的东西那个税该谁收
0	汇总备案登记以后的分公司如果注销要填哪些报表
0	你们厂要招人人工服务
0	哦税款被锁死的话要怎么处理
0	收不到动态吗
0	啊
0	哦哦我想问一下我在那个进行个税的人员信息采集的时候他显示我在系统登记的手机号码为零我想问一下在哪里绑定手机号码
0	个体户的个人经营所得税的年报在哪里申报
0	社保扣完了但是金额不一样
0	嗯我瞌睡为什么会申报不成功啊他信息提示说是自然的没有尉健行自然人信息采集但是自然的信息采集我已经帮他们去做了为什么还是申报不成功呢
0	我这边家具的姐能那么低贱完之后变成负数那怎么怎么申报
1	好个屁啊
0	个人所得税扣缴上传那个个人
0	我这个生病了啥啊
0	不用啦不用动了
0	跨区域申报城镇土地使用税在哪个地方申报
0	转人工服务
0	哦我说说我那个税款计算那个密码时它提示的是系统异常
1	你是不是傻逼呀
0	外籍人员不记得自己的路线时间怎么办
0	增值税发票系统升级版证书驱动
0	人工服务
0	企业所得税申报
0	个人所得税生产纳税经营所得税申报表
0	哦我四月份冲红了三张专用发两张专用发票三年的五月份
0	国人说的谁在哪里查询
0	嗯你好这是我外国人外国人工资薪金他一到三月份的收入他不会累计到我这个月请问这个要怎么处理
0	请问我刚才从农业银行扣掉三百二这是什么
0	哦你好不需要帮我转接人工
0	喂
0	二宝
0	帮我转接人工服务
0	八拍电视的处罚是怎样死的发票丢失的处罚
0	请问怎么开发票
0	这个号转发这个
0	个人所得税减免需要提交资料给公司吗
0	木马
0	个体户如何注销
0	酷狗转人工
0	喂现在哪些业务可以实现全程东通办
0	我什么狗嘴这个他身高是百分之一百
0	随军家属开办企业怎么办理税务优惠
0	麻烦帮我揿人工服务
0	关于个税申报的具体操作方法
0	我想增肥哦咨询关于发票的问题
0	哦你好我我我我这边我想问一下我跟小孩是绑定那个一是保了他那个银行卡不记得了你那边可不可以帮我查的到
1	废物
0	晚上带开发票耶埋死
0	个税客户端企业的初始申报密码是什么
0	你好我想问一下那个各种工伤叮咛所得抱这个睡的时候我没事巨石巨石一角吧啊然后收入总额填进去成本费用我想我就想问一下这个成本费用额因为我们有发的一个工资吗就是说那我这个成本费用能不能喊这个工资的数就想问这个问题
0	嗯石油大楼尚未移交但是实际上已使用计提的折旧能否进行税前扣除
0	人工服务
0	那个退教育费附加跟地方教育费附加的
0	哦社保可以补交吗
1	问道去你妈的
0	个人退税怎么操作
0	申请申请正常
0	哦我的那个社保这个代扣社保里面忘了交钱进去吗那现在是想问一下就是这个会不会挺饱
0	嗨
0	你好
0	哦转人工
0	哦
0	麻烦你帮我转一下人工服务我有紧急的要事要我
0	我说上次去找路口地税局办的那个哦之夜激战他没给我退汇单今天跑到简谱来吧社保中心来办社保中心说我没有智慧但不给我办现在我在这个这个东西不是这样四楼也有个税务局吧来不来补办一个社会的因为不啦如果不能给我补办五月跑到里面找的鹿狗记不是跑来跑去不是把我累死吗
0	赡养老人
0	喂
0	今晚上有动车吗到丰都到石柱了
1	哎呀烦死了怎么弄呀你好欠扁啊
0	哦个税申报了然后嗯
0	请问外地
0	个人所得税的起征点是多少
0	你好
0	为请问一下要办理那个个人
0	哎你好我想问一下咱们宝里面显示的是除了珍宝还有那个谁还记得那时候他现在的女人尼玛教练不通过是怎么回事
0	去你申报的个人所得税如果嗯要做更正申报的话是怎么操作
1	他妈的搞个屁颠屁的人真多
0	我咨询的是个人所得税这二月份的根本特点现在我现在我想跟这个程序怎么办理
0	本市户口个人缴交社保
0	个体户是否有规定人数吗
0	我没有遇见那个自由但是单子里写着有一角罗二零二零九五九四怎么回事啊
0	说不清楚了
0	呃我在网上看到财务会计制度备案请问这个需要怎么操作
0	公司纳税公司纳税
1	我这咨询你妈卖逼
0	嗯就是劳务费的话登时增值发票劳务费普通发票这种如果退税的话是需要带什么资料
0	我的妈呀
0	社保缴纳查询
1	我操
0	诶你好我想问一下就是公司经营范围的话来找一点的话主要是做那个变频器这一块的现在的话了是需要焦距的增加这一说技术服务这一块这个可以去弄吗怎么弄
0	查个人所得税
0	添加购票人
0	双值税附加税在哪里爆
0	呃个税的那个分摊方式啊如果是被赡养人指定的你用它一个人分摊的话他那其他那些共同犯小人的信息还要停水吗
0	金山税额转出
0	香港居民怎么报个税
0	我能娶我女儿重庆市江北区野水沟景区的专管员电话
0	转人工
0	神功税控盘人工服务
0	多少岁前脸多少
0	对称式
0	代开专票作废
0	换你妈
0	你扣费啊换屏保重新参保需要再交费吗
0	砍死你四月份开始另类点的发票需要办什么手续
0	怎么申报住房公
1	你的东西给狗咬了给狗吃了
1	傻逼了缴销流程
0	请问那个个体户的年度个人经营所得税现在要怎么申报在那个自然人税收管理系统里面申报不了二零一八年的那个额个人今天说得对电子税务局也没有地方可以申报
0	我想升级成发票升级成百万怎么操作
0	我在那时他们申报纳税的时候就提交这个纳税的时候把那个呃就是选选错了吗选择那个银行端啊现在我想改成税务章那应该那能不能撤销这个银行专转呢
0	农场品那个血那个鸡牛也猪牛羊鸡鸭鹅这些那个哪些东西是免费的
0	个人去税务局开票的话需要带些什么
0	你好哦想问一下呃社保社保申报错了可以退回吗
0	好像量购票特批申请
0	说附加税申报表如何填写
1	你傻啊
0	为帮转人工服务
1	你是猪
0	转人工
0	我要接语音
0	超限量购票
1	傻逼
0	我想咨询一下我们那个房租个税减免为什么在网站上查不到
0	让他
0	一般纳税人转小规模的具体操作流程
0	麻烦转人工
0	注册那个注销营业执照最快
0	社保局电话
0	哈哈您好
0	喂
0	哦
0	嗯你好请问一下就是那个词儿就是刚睡觉的时候啊我嘞个神爆裂四号线到嘴会不安申报他就说发送珍宝的么那个好玩那个情绪崩溃的时候他就是真八十八一直都是的样子灯塔是傻子呀
0	帮我转接一下人工
0	扣税失败
0	你好语音助手
0	嗯我就是在那个国家税务那个网站里面我们要再开那个增值税专票代开申请怎么现在开不了就只是签了一个增值税普票代开申请
0	我想问一下就是呃我小孩的那个费用有没有扣掉了
1	你去死吧
0	发票就是
0	嗯帮我转人工台
0	哦
0	你好我打印了一个纳税证明下面2018年的总金额是不是要剪掉退税费然后才能用于申报小
0	妹子
0	纳税人识别号查询
0	发票开租房发票开完之后想问什么时间能够邮寄但是现在我手机查询他的发票账单一直在审核状态我不想知道我下一步要怎么操作
0	不过气幸福如何申报纳税
0	人工服务
0	我想问一下厦门五月份基数调整是怎么
0	查询个人所得税
0	今天阳光吗
0	转人工
0	增值税普通发票红冲要怎样做
0	哦为什么
0	你好最近是零五零
0	自然人代开发票限额
1	说你妹啊
0	我操我操房租费发票
0	你好那个年终奖个税已经申报了但是公司还没有申报怎么操作
0	定额发票查询
0	人工服务
0	不知道怎么报税
0	公司办那个发票的购票人员呢就是为什么申请之后就是名字那个电话号码为什么不一致用不了
0	嗯
0	如果员工在两个公司都那个缴纳的个税要查他的指这个个税合并报表是怎么查呢
0	我需要转人工台
1	滚
0	网站不能用
0	但需要这种需要有问题啊没写问题我刚也是还有一个就是综合所得怎么睡多少
0	我想问一下那个朱金底等高我现在把他抱上去了过后当我换了住房过后可以更改这个抵扣信息吗
0	累死我了两边都没有了抬头观察一下小芳也没有了才到家
0	憋得半死零八零八要去预约选号嗯进不了系统
0	官方网站人工服务
0	哎我的卡上绑了两个小孩的就是扣了一个那里面的钱不够我还不知道所以我马上把钱存进去了他在等三天没扣那是这个要怎么处理
0	我
0	懒猪房地产那个增值税税率
0	个人装感性经营所得现在还有钱扣款协议的要怎么扣款有几种扣款方式
0	我个体的营业执照嗯一直也没用注册完了怎么申报税务
0	小宝
0	我要查这个月医保交了没有
0	你好请问一下帮个人买了社保之后在这个电子税务里面增援要怎么操作
0	喂
0	转人工
0	父母在厦门缴交医社保多久小孩子可以交医保
0	哦我想问一下我们在那个地区网站的话要改变个人的接受要怎么去操作
0	喂你好我想咨询一下就是非税收征管系统是不是有更化那个网址
0	喂你好我问一下思明区税务局交税的办公地址在哪里
0	代开发票
0	我想问一下我的个税在一月份开通了使用呢税费认定已经申报了个税那为什么现在报二月份的个税它显示我没有税费怎么认定那种我就认定了要准备什么时候开始认定你们的系统太垃圾了
0	更是逾期申报
0	报税报申报过剩问题下载软件下载信托公司眼镜
0	哦
0	还要开十六个点的发票要怎么操作
0	一月份哦怎么是闹不起呀
1	我操你妈
0	屁股和小的一个图片高手可不可以
0	机器人要不要试试
0	嗯
0	我想申请个税就是智力教育畸形继续教育大病医疗之类的
1	坏蛋
0	社保扣款好像不对
0	哦验证发票
0	为代扣
0	哎你好请问一下就是我绑定了银行卡在里面但是我想请问怎么签定三方协议
0	嗯
1	哎呀烦死了
0	我是个体工商户在属于一般纳税人咨询一下关于城建费教育附加费地方教育附加费的这个怎么申报谢谢
0	二条未签收要怎么护理话费
0	请问现在过来生产经营所得表是在测试系统里面申报吗
0	人工服务
0	更改购票员
0	啊您好我是
1	换个屁
0	我想咨询一下哈我是个体的哦他要叫我什么第四季度他家我需要去够花票他说我第四季度的税费抱个屁都不是不要申报睡吗
0	有必要那么堵啊不敢了
1	你大爷的
0	您好我想咨询一下要怎么操作银税协议
0	所得税季报弥补以前年度亏损怎么填写
0	喂你好我想咨询一下那个就是如何知道自己公司的一个增值税的一个税点是几个点的
0	提交申请的
0	首次申请专票怎么操作
0	冒个泡那个发票票种核定怎么打不开啊在网上
0	旅客运输服务的抵扣就扣税怎么操作
0	对于小微企业应纳税所得额不超过一百万的深圳的企业还是按点按百分之二十计入应纳税所得额按百分之二十的税率缴纳企业所得税吗
1	烦死了
0	你好
1	蛋碎
0	请问一下谁有级那边有没有办理社保登记证
0	一般纳税人转小规模哦怎么操作
0	转人工客服
0	小规模纳税人开百分之几的税票
0	我的妈呀
0	我死了你要请多久
0	嗯我想咨询一下如果是个人代开发票身份证丢失可以更换为护照吗
0	我更新符合小规模微利企业这个减免的但是在那个所得税填的时候第一项前不了
0	王勇和桃子吧
0	增值税的申报
0	曹操
0	我是要咨询那个老人家的那个医保卡有没有缴费几年
0	谢谢你啊那个小孩的医保扣款问题
0	增值税发票选择认证平台收暑期还送月份这是怎么一回事啊
0	人工服务
0	报税
0	我是
0	人工服务
0	减肥中
0	请问各的个人所得税怎么在网上申报
0	嗯
0	嗯我这个社保卡要做身份示范请问要怎么操作
0	医保卡我想要解绑什么
0	个个人所得税申报系统是在显示验证码不成功不正确
0	我要找个性系统漏报少报可不可以
0	本月申报日期截止到几月几号
0	发票发放需要携带什么资料
0	嗯
0	深圳小型微利企业的嗯规定
0	转人工
0	更嚣张一点个人承包承租所得税
0	我要查一下我是否有参保
0	您好我想咨询一下那个呃深圳市有一家深圳市社会捐助和救灾物资储备中心这家啊监禁机构有没有税前扣除资质啊
0	月份没到二月份
0	智能啊这能是怎么搞
0	龙华区税局预约号
0	你不是人工吗
0	个人所得税起征点多少
0	降央宫
0	我是个体户
0	医保卡我想要解绑怎么做
1	这么笨
0	增值税税点开错然后报税申报跟那个后续怎么操作
0	人工服务
0	三方协议晚上七点去吗
0	我要查社保问题
0	额百分之二十的个税要怎么解决
0	个税在申报的时候需要输入密码那密码他有要求格式吗心我操作了几次都校验不通过
0	哦
0	办理那个一次半年那个税控机怎么办啊
0	嗯
0	购置税退税要多久时间
0	网上预约为什么预约不了龙岗区的税务局
0	我之前绑定的法人手机号码已注销了现在该如何操作更改法人手机绑定号码呢
0	文章
0	我也纳闷
0	这种认定功能补充最终认定嘻嘻
0	而我公司是一九年三月二十二日成立的我看到公司的信息是不是一般纳税人那是小规模纳税人我想升级为一般纳税人要怎么做
0	嗯那个嗯
0	年所得十二万元以上的个人作品有没有申报
1	狗屎
0	就是我我买的那个房子啊然后我是不是要要自己预约预约办理那个七岁吗但是我缴费
0	那个机器人根本就是
0	那你就抱在一块是吧我看到一个三万二牡丹死了都有五万五广告费大家工资一万七千六了怪物快啊什么杂七杂八的十五万十一月十一必要问吗
0	嗯
